"jobtitle","company","location","salary","companysize","companyrating","summary"
"Applied Scientist","Amazon Corporate LLC","Seattle, WA","NA",nan,43.2,"Amazon is looking for a passionate, talented, and inventive Applied Scientists with a strong machine learning background to help build industry-leading machine..."
"Enterprise Analytics Data Scientist 2/3","Northrop Grumman","McLean, VA 22107","NA",nan,51.6,"Northrop Grumman Enterprise Analytics is seeking a Data Scientist to join our team. Experience with Machine learning Text Mining and Sentiment...."
"Associate Data Scientist","Darden","Orlando, FL","NA",654,44.4,"Experience with data visualization. The Associate Data Scientist works with team to wrangle, model, interpret, and visualize large volumes of data...."
"People Analyst/Data Scientist","Pivotal Software","San Francisco, CA","NA",10,51.0,"Experience with data visualization tools (Tableau). Experience and comfort working with a wide variety of analytical methods, large data sets, structured..."
"Data Scientist","The Cadmus Group, Inc.","Washington, DC","NA",nan,nan,"Manage data integration projects for federal client. Our client-oriented approach, coupled with our profound and relevant subject matter expertise, enables us..."
"Machine Learning Scientist","Amazon Web Services, Inc.","Seattle, WA","NA",nan,43.2,"Amazon Web Services (AWS), a leader in cloud computing, is looking for a talented Data Scientist to help revolutionize the way we sell to and serve customers..."
"Data Scientist","Expedition Technology, Inc.","Dulles, VA 20166","NA",nan,nan,"Data science and analysis. Successful applicants will support a range of programs and roles, potentially including a combination of conceptual R&D, product..."
"Data Analyst","Autoloop LLC","Clearwater, FL","NA",nan,nan,"Data Analysts coordinate across internal team members in Analytics Insights, Marketing, and Business Analysts/Engineering to compile data sets for analysis and..."
"Data Scientist","SpecTIR","Springfield, VA","NA",nan,nan,"Data Scientist - Journeyman Level. Of structured and unstructured data and continuous data streams into data. Perform Cross-Domain data analytics in support of..."
"Data Scientist","Express","Columbus, OH","NA",nan,43.2,"2+ years in an analytics, statistics, econometrics, or data scientist role -Familiarity with statistical algorithms such as linear and logistic regression,..."
"Business Intelligence Data Scientist","Raytheon","Tucson, AZ","NA",nan,51.0,"Advanced degree (MS or PhD) in quantitative fields such as Computer Science, Mathematics, Statistics, Physics or in Social Science with a quantitative..."
"Engineer/Scientist, Data Fusion","AM Pierce & Associates","Patuxent River, MD","NA",3,60.0,"Ability and willingness to stay current on technical progress and trends in data fusion and related technologies, including machine learning, artificial..."
"Lead Data Scientist - Aetna New York City","Aetna","New York, NY 10016 (Gramercy area)","NA",nan,43.8,"NA"
"QUANTITATIVE ANALYST","Loomis, Sayles & Company, L.P.","United States","NA",nan,nan,"Lead the research process and infrastructure development on a project basis. Conduct research and model other shorter-term quantitative research topics relevant..."
"Mobile Machine Learning Engineer","Welch Allyn","Skaneateles Falls, NY","NA",54,52.2,"Hill-Rom's comprehensive product and service offerings are used by health care providers across the health care continuum and around the world in hospitals,..."
"Senior Data Scientist - CRM (L.A)","Uber","Santa Monica, CA 90401","NA",214,44.4,"Superb quantitative background with a graduate degree in a quantitative domain such as Computer Science, Machine Learning, Operations Research, Statistics, or..."
"Machine Learning Scientist","Cogito Corporation","Boston, MA 02109 (Central area)","NA",nan,nan,"Ability to collaborate with other data and machine learning scientists, as well as software engineers on model requirements and design...."
"Data Scientist","BAE Systems, Inc","Washington, DC 20535 (Downtown area)","NA",5,43.8,"Work with data scientists to coordinate multifaceted scientific research and analytic activities that provides scientific and technical consultation...."
"NA","AT&T","Plano, TX","NA",nan,44.4,"As a data. We rely on the latest in data. From fleet optimization and energy efficiency to content analytics and...."
"Time Series Data Scientist","DataRobot","Boston, MA 02109 (Central area)","NA",2,60.0,"You will then collaborate to design solutions with our team of world-class data scientists, software engineers, and an executive team that is passionate about..."
"Data Scientist - MTS","Salesforce","Cambridge, MA","NA",246,52.8,"We do this by capturing data from every customer touch point, mining behavioral signals using machine learning and advanced predictive algorithms and overlaying..."
"Data Visualization Engineer","Nuna","San Francisco, CA","NA",nan,nan,"Our technology enables data scientists, analysts, benefits officers, and policymakers to understand healthcare data while ensuring its integrity, security, and..."
"Global Quantitative Analytics Analyst Program - 2018","Bank of America","Charlotte, NC","NA",nan,44.4,"Assessing market trends and providing quantitative data for internal partners and ultimately, clients...."
"Data Analyst, Consumer Insights","Universal Orlando Resort","Orlando, FL 32819 (Florida Center area)","NA",579,52.2,"Modifies and blends data collected from surveys for use in reporting by utilizing automation to move data, validate data, standardize data, and create derived..."
"Quantitative Researcher - Internship","Two Sigma Investments, LLC.","New York, NY","NA",5,43.8,"Scientists in the truest sense, our Quantitative Research Associates navigate the full research process. Applying quantitative techniques and market intuition..."
"Data Scientist","Noblis","Washington, DC","NA",27,51.0,"On statistical methodologies/approaches, analytical issues, and risks Participate as the data science subject matter expert in meetings with client-organized..."
"Data Scientist, Machine Learning","Human Longevity","Mountain View, CA","NA",nan,nan,"Creative application of machine learning and statistical techniques for precision health and related HLI activities including Health Nucleus and our cancer..."
"Data Scientist - Big Data & Analytics","KPMG","McLean, VA","NA",nan,51.0,"KPMG is currently seeking a Data Scientist - Big Data & Analytics, to join our Advanced Analytics Organization focused on government related projects...."
"Predictive Analytics/Data Scientist","Country Financial","Middletown, CT","NA",205,43.8,"At COUNTY Financial, our Predictive Analytics / Data Scientist position in P/C Research and Analytics analyzes and develops models for pricing, product..."
"Data Scientist","Quantifind","Menlo Park, CA","NA",nan,nan,"Underneath it all, we have proprietary data infrastructure built in-house where Data Scientists can experiment with new algorithms instantaneously...."
"Data/Experimentation Scientist - Maps","Apple","Santa Clara Valley, CA","NA",nan,52.2,"Experience with a variety of relevant data manipulation languages (Python, R, SQL). Experience with data visualization tools and best practices is highly..."
"NA","BlackRock","San Francisco, CA 94102 (Downtown area)","NA",238,43.8,"We are developing a multi-year strategy on how we manage our data and use data analytics with the aim of generating insights to inform how we grow the business...."
"NA","Tessella","Houston, TX 77042 (West Houston area)","NA",2,30.0,"We are seeking talented Data Scientists with software development and analytical skills and a strong academic and/or commercial background...."
"Data Scientist / Machine Learning Engineer - Application & P...","Workday","San Francisco, CA 94105 (Financial District area)","NA",28,44.4,"In addition to projects, you will be able to learn from fellow top notch data scientists and engineers, follow and share cutting-edge machine learning and deep..."
"Statistical Analyst","Agility Consulting LLC","Linthicum Heights, MD","NA",nan,nan,"Experience in using large, complex health related datasets such as clinical data, health insurance claims, electronic health records, health administrative..."
"Starbucks Business Manager/Data Scientist, CPG - Seattle, WA","Starbucks","Seattle, WA 98134 (Industrial District area)","NA",nan,51.6,"NA"
"Data Scientist","Treselle Software","Campbell, CA","NA",nan,nan,"Applicants should be smart, passionate applied scientists interested in using large data sets and experience using Python or R to collect, structure, manipulate..."
"Data Scientist","Vizient, Inc.","Chicago, IL 60606 (Loop area)","NA",39,51.6,"Serves as the resident data expert and share best practices/approaches for statistics, machine learning techniques, data modeling, simulation and advanced..."
"STATISTICIAN DATA SCIENTIST - ENTERPRISE ANALYTICS","UNC Health Care","Chapel Hill, NC","NA",274,51.6,"NA"
"Quantitative Analyst","AIG","New York, NY","NA",nan,43.8,"Proficient in using R or Python (or other scripting languages) for data transformation and automation orchestration...."
"Associate Data Scientist","Zurich North America","Schaumburg, IL 60173","NA",521,43.2,"NA"
"Data Scientist","Glooko","Mountain View, CA 94041","NA",nan,nan,"NA"
"Data Scientist - Supply Chain","The Home Depot","Atlanta, GA","NA",nan,43.8,"NA"
"Data Scientist","OutMatch","Dallas, TX 75251 (North Dallas area)","NA",nan,nan,"NA"
"Data Scientist","comScore","Portland, OR","NA",37,42.6,"NA"
"Data Scientist","CodeFights","San Francisco, CA","NA",nan,nan,"NA"
"Data Scientist","Autolist","San Francisco, CA","NA",nan,nan,"NA"
"Data Scientist","Credit Sesame","San Francisco, CA","NA",nan,nan,"NA"
"Data Scientist","The College Board","New York, NY","NA",44,51.6,"NA"
"NA","IDEXX Laboratories","Westbrook, ME 04092","NA",201,43.2,"NA"
"Data Scientist","Bright Health","Minneapolis, MN","NA",nan,nan,"NA"
"Data Science Intern - Fall 2017","Interactive Data","New York, NY 10016 (Gramercy area)","NA",39,40.8,"NA"
"Data Scientist, Research & Technological Development","Halliburton","Houston, TX 77032","NA",nan,44.4,"NA"
