"jobtitle","company","location","salary","companysize","companyrating","summary"
"Practice Head- Artificial Intelligence & Machine Learning Ev...","Wipro Limited","San Francisco, CA","NA",nan,43.8,"Industry Leadership Represent Wipro brand in various industry/vendor forums and events Build connects with Business/IT Leadership and Industry Analysts..."
"Senior Full Stack Web Applications Developer","Cognizant","Boulder, CO","NA",nan,51.0,"You have some exposure or expertise in big data, artificial intelligence, natural language processing, blockchain or other specialized technologies...."
"Civilian Account Executive","DataRobot","Washington, DC","NA",2,60.0,"You'll be comfortable selling an advanced analytics solution that empowers agencies to solve their most difficult data science problems with our automated..."
"Senior Data Scientist","Udacity, Inc.","Mountain View, CA 94040","NA",6,55.8,"We're an online learning platform offering groundbreaking education in fields such as artificial intelligence, machine learning, robotics, virtual reality, and..."
"Information Systems Project Manager","Telos Corporation","Ashburn, VA 20147","NA",21,51.6,"Analytics, data science, artificial intelligence,. The most security-conscious organizations trust Telos...."
"Network Engineer (Communications)","Innovari","Portland, OR","NA",nan,nan,"NA"
"IT Training Content Architect","Baker & McKenzie","Chicago, IL","NA",64,51.6,"Drive innovation in training content and design, including consideration of new methods of engagement such as gamification and the potential use of Artificial..."
"Product Manager, AI","Movable Ink","New York, NY","NA",2,54.0,"As a Product Manager, AI at Movable Ink, you will be the product champion for data products built on machine learning and artificial intelligence...."
"Sr Data Scientist","QuintilesIMS","Plymouth Meeting, PA","NA",881,44.4,"MS or PhD degree in Computer Science, Artificial Intelligence, Machine Learning, or related technical field. The Digital Office is looking to expand our team to..."
"SENIOR RESEARCH ENGINEER - Data Processing","Banzan International Group Corporation","Acton, MA 01720","NA",nan,nan,"Apply data mining, artificial intelligence, signal processing techniques to the R&D of pipe network monitoring, warning and early assessment systems...."
"Application/Business Capacity Management, AI and Machine Lea...","Morgan Stanley","New York, NY 10032 (Washington Heights area)","NA",nan,44.4,"Artificial Intelligence, Machine Learning & Advanced Analytics. QAPM are currently investigating a number of Artificial Intelligence and Machine Learning..."
"NA","Ditech Financial LLC","Bellevue, WA 98004 (Downtown area)","NA",176,40.2,"The proficient use of an automated underwriting system to augment the risk analysis process, which requires acceptance and understanding of artificial..."
"Content Developer, Innovations","Udacity, Inc.","Remote","NA",6,55.8,"NA"
"Capacity Delivery Program Manager","Google","Mountain View, CA","NA",nan,52.8,"As a senior level Program Manager, you will own the planning and delivery of system level deployments such as machine learning/artificial intelligence products...."
"Automotive Hardware System Architect","NVIDIA","Santa Clara, CA","NA",137,52.2,"NVIDIA gives automakers, tier-1 suppliers, automotive research institutions, and start-ups the power and flexibility to develop and deploy breakthrough..."
