"jobtitle","company","location","salary","companysize","companyrating","summary"
"Research Engineer","Raytheon","Dulles, VA","NA",nan,51.0,"Are you interested in machine learning, artificial intelligence, and other forms of artificial cognition? The successful candidate will have a knack for taking..."
"Senior Director, Professional Services","Aspect Software Inc","Remote","NA",4,54.0,"Our ability to think big has enabled us to continually evolve and lead the market, and to stay on the forefront with exciting technologies including cloud,..."
"Machine Learning Engineer, Proactive Intelligence","Apple","Santa Clara Valley, CA","NA",nan,52.2,"Create groundbreaking technology for large-scale systems, spoken language, big data, and artificial intelligence...."
"Machine Learning Engineer","Faraday Future, Inc.","San Jose, CA","NA",nan,nan,"NA"
"Machine Learning Engineer","Creospan Solutions","Chicago, IL","$75 - $90 an hour",nan,nan,"BS degree in Computer Science, Machine Learning or Artificial Intelligence major is preferred. Minimum of 2-3 years full time hands-on machine learning or..."
"Scientist, Data Sciences","Johnson & Johnson Family of Companies","Spring House, PA","NA",nan,52.8,"Statistics, Machine Learning & Artificial Intelligence, Physics, Molecular. Janssen Research & Development LLC, a...."
"Research Scientist, Machine Learning & Signal Processing","Facebook","Redmond, WA","NA",189,52.2,"Individuals in this role are expected to be recognized experts in identified research areas such as artificial intelligence, machine learning, computational..."
"Autopilot Internship (Spring 2018)","Tesla Motors","Palo Alto, CA","NA",545,43.2,"Individuals in this role are expected to be experts in identified research areas such as computer vision, artificial intelligence, machine learning, and applied..."
"Data Scientist","Ford Motor Company","Dearborn, MI","NA",nan,52.8,"2+ years of experience with Machine Learning and Artificial Intelligence techniques and tools to include one or more of the following:...."
"Senior Product Manager","Nauto","Palo Alto, CA","NA",nan,nan,"NA"
"Search Strategist (SEO) - Remote","Propecta","Lake Geneva, WI 53147","NA",nan,nan,"Propecta builds holistic, high-impact SEO strategies for the era of RankBrain and artificial intelligence; Provides full-service execution when needed;..."
"Machine Learning Systems Engineer","Intel","Hillsboro, OR 97124","NA",nan,52.2,"Come join Intel's Artificial Intelligence Group, t his position focuses on data analytics applications using deep learning and machine learning approaches...."
"Backend Software Engineer, Machine Learning Platform","Apple","Pittsburgh, PA 15237","NA",nan,52.2,"NA"
"Data Scientist","INgrooves Music Group","Los Angeles, CA","NA",nan,nan,"NA"
"Deep Learning Compiler Engineer","NVIDIA","Santa Clara, CA","NA",137,52.2,"Academic and commercial groups around the world are using GPUs to power a revolution in deep learning, enabling breakthroughs in problems from image..."
